==========================================================================================
hold 100%  FLAGS: []
sig                   min          max          end    revs
L_react            0.0000       0.0000       0.0000       0
eta_T              0.9931       0.9967       0.9967       0
T_bot            198.7000     205.4000     198.7000       0
LI_501            49.9000      50.0000      50.0000       0
LV_501            17.8000      23.4000      17.8000       0
HPCC_L           100.0000     100.0000     100.0000       0
HPCC_T           138.1000     138.1000     138.1000       0
EJ_suct         8894.7000    8894.7000    8894.7000       0
SCR_L             76.8000     100.0000     100.0000       0
urea_bot          51.0700      66.9600      51.0700       0
pumpB             38.1000      38.1000      38.1000       0
FFIC_pv            0.2068       0.2068       0.2068       0
FFIC_op         6495.0000    6495.0000    6495.0000       0
F329401_op        50.0000      50.0000      50.0000       0
F329401_pv      6495.0000    6495.0000    6495.0000       0
T328008_pv        46.2152      46.2159      46.2159       2
T328008_op      1691.4730    1701.3485    1701.3488       0
F328404_op        30.4961      30.6740      30.6740       0
F328404_pv         1.5447       1.5537       1.5537       0
F328404_sp         1.5447       1.5537       1.5537       0
F328402_op        50.0000      50.0000      50.0000       0
F323402_op        50.0000      50.0000      50.0000       0
CompI_M       137461.6679  138093.3561  137461.6497       0
CompI_T           55.8847      55.9284      55.8847       0
D001_P             2.5996       2.5996       2.5996       2
